transaction_id,customer_id,transaction_date,amount
TX-0000001,CUST-00001,2026-08-31,509.72
TX-0000002,CUST-00001,2026-07-23,614.65
TX-0000003,CUST-00001,2026-01-30,423.54
TX-0000004,CUST-00001,2026-01-19,643.91
TX-0000005,CUST-00001,2026-01-12,596.52
TX-0000006,CUST-00001,2025-12-20,432.03
TX-0000007,CUST-00001,2026-04-10,492.7
TX-0000008,CUST-00001,2026-01-06,631.69
TX-0000009,CUST-00001,2026-02-14,605.69
TX-0000010,CUST-00001,2026-04-10,510.85
TX-0000011,CUST-00001,2026-06-13,538.65
TX-0000012,CUST-00001,2025-12-15,415.95
TX-0000013,CUST-00001,2025-12-24,557.92
TX-0000014,CUST-00001,2026-01-29,589.52
TX-0000015,CUST-00001,2026-05-07,642.67
TX-0000016,CUST-00001,2026-02-04,623.28
TX-0000017,CUST-00001,2026-01-07,448.66
TX-0000018,CUST-00001,2026-03-28,516.68
TX-0000019,CUST-00001,2026-08-04,438.57
TX-0000020,CUST-00001,2025-11-27,570.76
TX-0000021,CUST-00001,2026-01-16,641.88
TX-0000022,CUST-00001,2025-12-01,481.46
TX-0000023,CUST-00001,2026-05-03,517.39
TX-0000024,CUST-00001,2026-04-07,447.37
TX-0000025,CUST-00002,2026-08-30,456.73
TX-0000026,CUST-00002,2026-04-02,567.45
TX-0000027,CUST-00002,2026-07-01,509.29
TX-0000028,CUST-00002,2025-12-21,575.07
TX-0000029,CUST-00002,2026-01-09,478.09
TX-0000030,CUST-00002,2025-12-21,601.19
TX-0000031,CUST-00002,2025-12-03,496.87
TX-0000032,CUST-00002,2026-05-25,570.62
TX-0000033,CUST-00002,2025-12-21,434.94
TX-0000034,CUST-00002,2026-06-20,401.84
TX-0000035,CUST-00002,2026-01-05,596.73
TX-0000036,CUST-00002,2026-02-07,576.29
TX-0000037,CUST-00002,2026-03-10,595.18
TX-0000038,CUST-00002,2026-04-07,542.19
TX-0000039,CUST-00002,2026-06-07,434.95
TX-0000040,CUST-00002,2026-07-14,567.1
TX-0000041,CUST-00002,2025-12-15,517.77
TX-0000042,CUST-00002,2026-03-07,591.25
TX-0000043,CUST-00002,2026-03-07,558.68
TX-0000044,CUST-00002,2026-03-11,539.8
TX-0000045,CUST-00002,2026-02-25,475.99
TX-0000046,CUST-00002,2026-08-07,509.18
TX-0000047,CUST-00002,2026-05-29,453.65
TX-0000048,CUST-00003,2026-08-28,458.48
TX-0000049,CUST-00003,2025-12-13,414.58
TX-0000050,CUST-00003,2025-11-25,470.35
TX-0000051,CUST-00003,2026-05-22,565.48
TX-0000052,CUST-00003,2026-03-23,539.26
TX-0000053,CUST-00003,2026-01-02,566.08
TX-0000054,CUST-00003,2026-04-16,501.6
TX-0000055,CUST-00003,2025-12-25,441.74
TX-0000056,CUST-00003,2026-07-14,405.68
TX-0000057,CUST-00003,2026-07-19,580.59
TX-0000058,CUST-00003,2026-01-21,515.47
TX-0000059,CUST-00003,2026-06-29,525.26
TX-0000060,CUST-00003,2026-03-25,438.08
TX-0000061,CUST-00003,2026-01-27,511.54
TX-0000062,CUST-00003,2026-06-06,495.26
TX-0000063,CUST-00003,2026-05-20,557.57
TX-0000064,CUST-00003,2025-11-13,490.45
TX-0000065,CUST-00003,2026-07-20,429.5
TX-0000066,CUST-00003,2026-05-01,640.47
TX-0000067,CUST-00003,2025-11-28,574.93
TX-0000068,CUST-00003,2026-01-08,466.47
TX-0000069,CUST-00003,2025-11-10,594.69
TX-0000070,CUST-00003,2026-01-01,579.22
TX-0000071,CUST-00003,2026-04-07,468.06
TX-0000072,CUST-00003,2026-04-08,424.1
TX-0000073,CUST-00003,2025-11-29,513.94
TX-0000074,CUST-00004,2026-08-26,476.49
TX-0000075,CUST-00004,2026-03-09,544.8
TX-0000076,CUST-00004,2026-06-22,614.15
TX-0000077,CUST-00004,2026-03-24,589.63
TX-0000078,CUST-00004,2026-01-18,508.02
TX-0000079,CUST-00004,2026-07-03,556.83
TX-0000080,CUST-00004,2026-02-26,562.46
TX-0000081,CUST-00004,2026-01-08,421.11
TX-0000082,CUST-00004,2026-04-15,410.4
TX-0000083,CUST-00004,2026-06-19,523.5
TX-0000084,CUST-00004,2026-05-09,436.13
TX-0000085,CUST-00004,2026-06-23,425.85
TX-0000086,CUST-00004,2026-02-25,442.65
TX-0000087,CUST-00004,2025-11-02,631.28
TX-0000088,CUST-00004,2026-02-27,486.72
TX-0000089,CUST-00004,2026-05-19,547.73
TX-0000090,CUST-00004,2026-08-05,639.64
TX-0000091,CUST-00004,2026-03-31,520.58
TX-0000092,CUST-00005,2026-08-25,521.66
TX-0000093,CUST-00005,2026-07-18,522.68
TX-0000094,CUST-00005,2026-06-26,634.46
TX-0000095,CUST-00005,2026-03-01,518.37
TX-0000096,CUST-00005,2025-11-12,466.74
TX-0000097,CUST-00005,2026-05-08,530.17
TX-0000098,CUST-00005,2026-05-21,509.73
TX-0000099,CUST-00005,2026-08-04,606.57
TX-0000100,CUST-00005,2026-03-09,624.04
TX-0000101,CUST-00005,2026-07-02,538.51
TX-0000102,CUST-00005,2026-02-02,427.14
TX-0000103,CUST-00005,2026-01-31,470.31
TX-0000104,CUST-00005,2026-01-14,564.86
TX-0000105,CUST-00005,2026-01-15,592.16
TX-0000106,CUST-00005,2026-02-16,426.94
TX-0000107,CUST-00005,2025-11-22,457.55
TX-0000108,CUST-00006,2026-08-30,538.71
TX-0000109,CUST-00006,2026-05-19,492.73
TX-0000110,CUST-00006,2025-12-22,602.06
TX-0000111,CUST-00006,2026-06-19,479.28
TX-0000112,CUST-00006,2025-11-17,472.73
TX-0000113,CUST-00006,2025-11-30,528.76
TX-0000114,CUST-00006,2026-06-04,634.01
TX-0000115,CUST-00006,2026-03-17,441.15
TX-0000116,CUST-00006,2026-08-03,508.77
TX-0000117,CUST-00006,2026-07-03,648.09
TX-0000118,CUST-00006,2025-12-04,587.15
TX-0000119,CUST-00006,2026-06-13,622.7
TX-0000120,CUST-00006,2025-12-04,529.71
TX-0000121,CUST-00006,2026-08-09,478.98
TX-0000122,CUST-00006,2026-01-07,565.42
TX-0000123,CUST-00006,2025-12-06,493.41
TX-0000124,CUST-00007,2026-08-31,465.62
TX-0000125,CUST-00007,2026-01-16,634.2
TX-0000126,CUST-00007,2026-08-07,460.24
TX-0000127,CUST-00007,2026-07-13,607.78
TX-0000128,CUST-00007,2026-01-16,438.32
TX-0000129,CUST-00007,2026-06-26,549.85
TX-0000130,CUST-00007,2026-08-04,618.64
TX-0000131,CUST-00007,2026-06-22,477.58
TX-0000132,CUST-00007,2026-05-17,594.35
TX-0000133,CUST-00007,2025-11-13,525.19
TX-0000134,CUST-00007,2025-11-23,435.97
TX-0000135,CUST-00007,2026-08-13,457.41
TX-0000136,CUST-00007,2026-08-11,432.96
TX-0000137,CUST-00007,2026-02-04,430.46
TX-0000138,CUST-00007,2025-11-25,526.58
TX-0000139,CUST-00007,2026-01-31,545.28
TX-0000140,CUST-00007,2025-12-13,449.94
TX-0000141,CUST-00007,2025-12-30,578.85
TX-0000142,CUST-00007,2025-12-24,584.75
TX-0000143,CUST-00007,2026-07-10,430.94
TX-0000144,CUST-00007,2026-07-24,631.89
TX-0000145,CUST-00007,2026-04-25,475.24
TX-0000146,CUST-00007,2026-03-25,522.15
TX-0000147,CUST-00007,2026-02-09,638.91
TX-0000148,CUST-00008,2026-08-27,631.2
TX-0000149,CUST-00008,2026-02-23,406.21
TX-0000150,CUST-00008,2026-03-07,558.49
TX-0000151,CUST-00008,2026-01-18,426.47
TX-0000152,CUST-00008,2026-07-04,504.78
TX-0000153,CUST-00008,2026-06-26,641.56
TX-0000154,CUST-00008,2026-02-24,633.26
TX-0000155,CUST-00008,2026-04-11,601.09
TX-0000156,CUST-00008,2026-04-01,596.19
TX-0000157,CUST-00008,2026-02-04,404.46
TX-0000158,CUST-00008,2026-07-12,607.36
TX-0000159,CUST-00008,2026-04-03,599.2
TX-0000160,CUST-00008,2026-06-07,532.69
TX-0000161,CUST-00008,2025-11-20,551.5
TX-0000162,CUST-00008,2025-12-08,550.78
TX-0000163,CUST-00008,2026-07-10,503.14
TX-0000164,CUST-00008,2026-04-28,506.47
TX-0000165,CUST-00008,2025-11-11,562.98
